,Faturamento Total,Dia,Impressoes,Cliques,CTR,CPC,CPM,Custo
0,446880.1499999997,2021-09-01,598123.0,4419.0,28.80075959828142,3.372066077120823,200.04768970861517,2349.2
1,495261.71,2021-09-02,1490804.0,4550.0,32.93919812430543,2.75994033767927,138.47297669639238,2348.46
2,699783.2699999998,2021-09-03,295566.0,2676.0,34.512726556254535,2.8757524545454545,182.6957464044016,2251.96
3,1140939.98,2021-09-04,292036.0,3054.0,21.590237332703936,3.468344469879518,194.38731978059488,1860.04
4,1137429.3,2021-09-05,376854.0,3719.0,33.12539160976551,3.095226599435825,276.6683916386425,2033.97
5,825125.3000000002,2021-09-06,382992.0,3604.0,36.83048954166483,2.346138629213483,121.992471997358,1591.5099999999998
6,1047161.0000000003,2021-09-07,780573.0,5827.0,32.31522861829442,2.702395981240981,202.96193301981037,2646.0
7,381315.0699999998,2021-09-08,1260628.0,4900.0,32.34148350612545,2.536407850864553,72.97613750049919,2648.67
8,393938.4199999999,2021-09-09,625542.0,5163.0,33.179203214663794,3.290896603498542,192.40575377422817,3143.8900000000003
9,566876.25,2021-09-10,539041.0,4559.0,28.84436681152515,2.836868523670794,107.55680556281041,2648.8300000000004
10,1187799.71,2021-09-11,590022.0,6038.0,22.4138358665494,3.634356900275103,194.71700535940903,4148.42
11,1195119.8600000003,2021-09-12,644608.0,6531.0,36.682312748368446,2.452622,128.29727328796181,3510.59
12,439545.3499999999,2021-09-13,553566.0,5569.0,34.485489081967216,2.842887782231129,158.1744156079344,3012.75
13,469600.66999999975,2021-09-14,607448.0,5436.0,30.19099052539569,2.750217586025049,104.12393339043544,3482.68
14,384463.96,2021-09-15,487437.0,4931.0,32.52494458027641,3.647278075471698,227.5206915101987,3392.8199999999997
15,401029.09,2021-09-16,548540.0,4911.0,18.07638765581991,4.94526100671141,224.7501607735849,4115.57
16,597481.63,2021-09-17,608218.0,4453.0,34.72311650082528,4.138602771294433,236.92430637647726,3461.89
17,1248857.33,2021-09-18,555470.0,5576.0,27.69262545361178,3.656800370695476,203.28798572436298,4086.37
18,1208268.2599999998,2021-09-19,645922.0,6134.0,31.945760780483656,2.8848981912246234,161.37741403443636,3773.27
19,501139.9199999999,2021-09-20,823667.0,5979.0,31.2670470315095,7.133325442098528,193.15563833932342,5268.52
20,413758.72,2021-09-21,845846.0,5890.0,29.443135008323768,5.830041269635126,120.36271965003588,5537.29
21,358908.99999999994,2021-09-22,828940.0,6123.0,28.126693753646396,5.56260042675833,114.19926097022596,5415.719999999999
22,470941.3300000001,2021-09-23,851958.0,6317.0,33.72935369833771,6.574749287859288,145.15181030812707,5395.13
23,661508.2799999999,2021-09-24,892762.0,6841.0,29.945704954668194,6.7362,202.17347647916418,6098.05
24,1058489.21,2021-09-25,955323.0,6868.0,26.340622969342178,6.608227335532517,143.0191924698572,6203.64
25,1193315.8999999994,2021-09-26,994277.0,7423.0,31.658995706215727,6.604749984251969,206.24504713232946,6541.46
26,459806.9099999999,2021-09-27,591949.0,5968.0,30.721286240399518,4.027123714285715,279.652485003797,3947.88
27,515429.0999999998,2021-09-28,672891.0,5934.0,30.782441269179515,3.2020494403209625,102.04262290195797,4174.45
28,471204.31999999983,2021-09-29,1626170.0,5722.0,34.05431373502669,3.1471878891848695,68.5098589102123,4213.5199999999995
29,508691.3499999997,2021-09-30,1634476.0,5945.0,29.1164641308186,3.3313136400873837,156.44803179766797,4194.94
30,603035.4099999997,2021-10-01,409511.0,4263.0,33.19789769858981,3.923842025670945,357.15446077443573,4259.17
