Date,Cost,Impression,Click,CTR,Reach,Frequency
2021-09-01,658.82,405570,2243,0.55,358172,1.13
2021-09-02,666.0,379895,2127,0.56,322333,1.18
2021-09-03,250.0,116725,808,0.69,98738,1.18
2021-09-04,250.0,136616,970,0.71,114266,1.2
2021-09-05,332.47,202134,1286,0.64,172231,1.17
2021-09-06,333.0,190483,1331,0.7,159878,1.19
2021-09-07,667.0,460552,2508,0.54,399042,1.15
2021-09-08,667.0,371646,2068,0.56,316275,1.18
2021-09-09,667.0,296547,1910,0.64,207783,1.43
2021-09-10,665.46,281083,1647,0.59,207441,1.36
2021-09-11,667.0,286782,1923,0.67,199992,1.43
2021-09-12,666.84,315433,2101,0.67,216880,1.45
2021-09-13,667.0,279291,1898,0.68,192246,1.45
2021-09-14,667.0,259699,1846,0.71,182642,1.42
2021-09-15,667.0,220026,1425,0.65,158810,1.39
2021-09-16,663.82,218630,1563,0.71,149336,1.46
2021-09-17,667.0,197915,1581,0.8,135034,1.47
2021-09-18,667.0,217231,1728,0.8,151830,1.43
2021-09-19,667.0,265050,1862,0.7,181165,1.46
2021-09-20,667.0,224293,1699,0.76,152848,1.47
2021-09-21,667.0,181629,1559,0.86,121087,1.5
2021-09-22,667.0,210360,1561,0.74,142457,1.48
2021-09-23,855.0,237831,1778,0.75,158147,1.5
2021-09-24,854.98,235012,1896,0.81,158067,1.49
2021-09-25,855.0,268945,2059,0.77,178181,1.51
2021-09-26,855.0,279511,2222,0.79,185571,1.51
2021-09-27,855.0,241026,2151,0.89,157537,1.53
2021-09-28,854.58,263247,1909,0.73,177317,1.48
2021-09-29,847.74,237487,1747,0.74,162472,1.46
2021-09-30,799.6,286057,1864,0.65,199615,1.43
